Name,St.No.,Street Name,City,State,Zip,Municipality,Category,
Ellie&#39;s Hawaiian Shaved Ice @ Sandcastle,1000,Sandcastle Drive,Homestead,PA,15120,West Homestead,Pool Snack Bar/No Liquor,
Elliot&#39;s BBQ &amp; Steakhouse ,611,Old Clairton  Road,Pittsburgh,PA,15236,Pleasant Hills,Restaurant with Liquor,
Elliott&#39;s Backstreet BBQ,306,Lewis Run Rd,Clairton,PA,15025,Jefferson,Restaurant with Liquor,
Elliotts&#39; Off Broadway Deli,230,Airside Dr/ Bldg#200/ Box 3,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor,
Ellis School,6425,5th Ave,Pittsburgh,PA,15206,Pittsburgh-107,Full Service Kitchen,
Elroy Elementary School Cafeteria,3129,Elroy Ave,Pittsburgh,PA,15227,Brentwood,Satellite Kitchen,
Els Convenience Stop,1614,Penn Ave,Pittsburgh,PA,15221,Wilkinsburg,Retail/Convenience Store,
Elwood&#39;s Pub,163,Little Deer Creek  Road,Rural Ridge,PA,15075,Indiana,Restaurant with Liquor,
Emanuel United Methodist Church,856,Crucible  Street,Pittsburgh,PA,15220,Pittsburgh-120,Church Kitchen,
Embassy Suites / Bridges 446 Restaurant,550,Cherrington  Parkway,Coraopolis,PA,15108,Moon,Chain Restaurant with Liquor,
Embassy Suites By Hilton Downtown Restaurant,535,Smithfield  Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor,
Emergency Medical Services Institute,1002,Church Hill Road,Pittsburgh,PA,15205,Robinson,Mobile,
Emergency Treatz (ICE-SCRM),2444,Rochester Road,Sewickley,PA,15143,Franklin Park,Mobile,
Emerson Process Mgt Water &amp; Solution,200,Beta Drive,Pittsburgh,PA,15238,O&#39;Hara,Chain Restaurant without Liquor,
Emil&#39;s Cafe,414,Hawkins Ave,Braddock,PA,15104,Rankin,Restaurant with Liquor,
Emilia&#39;s Garden,702,Gulf Lab Road,Cheswick,PA,15024,Harmar,Restaurant without Liquor,
Emiliano&#39;s Mexican Grill &amp; Bar,2557,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Chain Restaurant with Liquor,
Emiliano&#39;s Mexican Restaurant ,5375,Wm Flynn Hwy,Gibsonia,PA,15044,Richland,Chain Restaurant without Liquor,
Emma&#39;s Market &amp; Deli,1580,McLaughlin Run Rd,Pittsburgh,PA,15241,Upper St Clair,Restaurant without Liquor,
Emmanuel Baptist Church,245,3rd St,Braddock,PA,15104,Rankin,Adult Food Service,
Emmanuel Lutheran Church,1229,Jefferson Heights  Road,Pittsburgh,PA,15235,Penn Hills,Church Kitchen,
Emmerling Ice Cream,932,Route 910,Cheswick,PA,15024,Indiana,Restaurant without Liquor,
Emmerling Park Concession Stand,151,Cove Run Road,Cheswick,PA,15024,Indiana,Adult Food Service,
Empire Palace,5100,Corporate Drive,Pittsburgh,PA,15237,McCandless,Chain Restaurant with Liquor,
Emporio,11978,Perry  Highway,Wexford,PA,15090,Pine,Chain Restaurant with Liquor,
Emsworth Inn,197,Hazelwood Ave,Pittsburgh,PA,15202,Emsworth,Restaurant with Liquor,
Engineers&#39; Society Of West Pa,337,4th  Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant with Liquor,
Enrico Biscotti Co,3100,Penn  Avenue,Pittsburgh,PA,15201,Pittsburgh-106,Food Processor,
Enrico Biscottio,2022,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Bakery,
Enrico&#39;s Cafe,2022,Spring Way,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Enrico&#39;s Tazza D&#39;oro Cafe,1125,N Highland Ave,Pittsburgh,PA,15206,Pittsburgh-111,Restaurant without Liquor,
Enrico&#39;s Tazza Doro Inc,416,Lincoln Avenue,Pittsburgh,PA,15209,Millvale,Transient Caterer,
Environmental Charter School /Upper,829,Milton  Street,Pittsburgh,PA,15218,Pittsburgh-114,Satellite Kitchen,
Environmental Charter School Lower School,309,Braddock Avenue,Pittsburgh,PA,15221,Pittsburgh-114,Satellite Kitchen,
Ephesus Mediterranean Kitchen,50,Freeport  Road,Pittsburgh,PA,15215,O&#39;Hara,Chain Restaurant without Liquor,
Ephesus Mediterranean Restaurant,219,4th Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor,
Ephesus Mediterrenean Kitchen,616,Lincoln Avenue,Pittsburgh,PA,15202,Bellevue,Chain Restaurant without Liquor,
Epiphany Catholic Church,184,Washington Place,Pittsburgh,PA,15219,Pittsburgh-103,Church Kitchen,
Erin&#39;s Fine Foods Catering &amp; More,8354,Perry Hwy,Pittsburgh,PA,15237,McCandless,Caterer,
Erin&#39;s Fine Foods Deli,210,6th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Erin&#39;s Hallmark,529,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,Packaged Food Only,
Ernie&#39;s Tavern,1102,Brackenridge Avenue,Brackenridge,PA,15014,Brackenridge,Restaurant with Liquor,
Espresso,906,Main St,Pittsburgh,PA,15215,Sharpsburg,Food Processor,
Espresso A Mano,3623,Butler St,Pittsburgh,PA,15201,Pittsburgh-106,Restaurant without Liquor,
Essie&#39;s Original Hot Dog Shop,3901,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor,
Estelle S Campbell Boys &amp; Girls Club,4600,Butler St,Pittsburgh,PA,15201,Pittsburgh-109,Community Service Facility/Exempt,
Esthers Sweet Shop,1814,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Food Processor,
Etna Express,421,Butler Street,Pittsburgh,PA,15223,Etna,Chain Retail/Convenience Store,
Etna Volunteer Fire Dept,27,Crescent Street,Pittsburgh,PA,15223,Etna,Firehall with Liquor,
Eureka,735,Copeland St,Pittsburgh,PA,15232,Pittsburgh-107,Packaged Food Only,
Euro Academy,210,Pearce Mill  Road,Wexford,PA,15090,Pine,Full Service Kitchen,
Europe Market &amp; Grill / E M Pizzeria,4140,Saw Mill Run / Clairton Boulevard,Pittsburgh,PA,15227,Brentwood,Restaurant without Liquor,
Evaline Lutheran Church,259,Evaline  Street,Pittsburgh,PA,15224,Pittsburgh-108,Church Kitchen,
Everest Ethnic Restaurant,4042,Saw Mill Run Blvd,Pittsburgh,PA,15227,Brentwood,Restaurant without Liquor,
Everest Food,308,Curry Hollow  Road,Pittsburgh,PA,15236,Pleasant Hills,Retail/Convenience Store,
Evergreen Cafe,7328,Penn Ave,Pittsburgh,PA,15208,Pittsburgh-114,Restaurant with Liquor,
Evergreen Elementary Cafeteria,3831,Evergreen Dr,Monroeville,PA,15146,Monroeville,Full Service Kitchen,
Everyday Noodles,5875,Forbes  Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor,
Everyday Nutrition &amp; Cafe,2585,Freeport Road,Pittsburgh,PA,15238,Harmar,Restaurant without Liquor,
Everyday&#39;s A Sundae &amp; Cafe ,6014,Centre Avenue,Pittsburgh,PA,15206,Pittsburgh-107,Restaurant without Liquor,
Evil Swine BBQ,79,McGovern  Boulevard,Glenwillard,PA,15046,Crescent,Mobile,
Excuses Bar &amp; Grill,2526,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
Express Mini Mart,3518,Brownsville Road,Pittsburgh,PA,15227,Brentwood,Retail/Convenience Store,
Express Mini Mart @ BP Fueland,501,Lowries Run Road,Pittsburgh,PA,15237,Ross,Chain Retail/Convenience Store,
Express Pizza ,2760,Saw Mill Run Blvd,Pittsburgh,PA,15227,Whitehall,Restaurant without Liquor,
Express Uni-Mart ,612,Old Clairton Rd,Pittsburgh,PA,15236,Pleasant Hills,Retail/Convenience Store,
Extra! Extra! News &amp; Variety,413,7th Avenue,Pittsburgh,PA,15219,Pittsburgh-102,Packaged Food Only,
Exxon Cheswick,1003,Freeport  Road,Cheswick,PA,15024,Harmar,Chain Retail/Convenience Store,
Ez Energy #303/7Eleven #36183H,209,Ohio River  Boulevard,Sewickley,PA,15143,Edgeworth,Chain Retail/Convenience Store,
Ezra&#39;s X Club,941,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Social Club-Bar Only,
F Ferrato Foods Co,203,Boggs  Avenue,Pittsburgh,PA,15211,Pittsburgh-119,Food Processor,
Fa&#39;s Market,623,Jones Ave,Braddock,PA,15104,North Braddock,Retail/Convenience Store,
Faber  Coe &amp; Gregg / US Steel Bldg,600,Grant Street,Pittsburgh,PA,15219,Pittsburgh-102,Chain Packaged Food Only,
Faber Coe &amp; Gregg,500,Grant Street,Pittsburgh,PA,15219,Pittsburgh-102,Chain Packaged Food Only,
Faber Coe &amp; Gregg,530,Wm Penn Place,Pittsburgh,PA,15230,Pittsburgh-102,Chain Packaged Food Only,
Faber Coe &amp; Gregg #1142,120,5th  Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Packaged Food Only,
Faber Express #1152,301,Grant Street,Pittsburgh,PA,15219,Pittsburgh-101,Chain Packaged Food Only,
Fabled Table,1400,Buena Vista Street,Pittsburgh,PA,15212,Pittsburgh-125,Caterer,
Fair Oaks Lounge,660,Ambridge Ave,Ambridge,PA,15003,Leet,Restaurant with Liquor,
Fairfield Inn &amp; Suites Breakfast,1004,Sutherland  Drive,Pittsburgh,PA,15205,Robinson,Hotels - Limited Menu Food Service,
Fairhaven Beneficial Society,7,Provost Rd,Pittsburgh,PA,15227,Whitehall,Social Club-Bar Only,
Fairmont Apartment Kitchen,5461,Penn Ave,Pittsburgh,PA,15206,Pittsburgh-111,Adult Food Service,
Fairmont PGH / Habitat / Andy&#39;s,510,Market Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant with Liquor,
Fairmount Elementary,1060,Atlantic Avenue,Brackenridge,PA,15014,Brackenridge,Full Service Kitchen,
Fairview Elementary School Cafeteria,738,Dorseyville Road,Pittsburgh,PA,15238,Indiana,Satellite Kitchen,
Fairview Vol Fire Hall,3326,Washington Pike,Bridgeville,PA,15017,South Fayette,Community Service Facility/Exempt,
Fairway Grille ,1530,Hamiton Road,Pittsburgh,PA,15234,Bethel Park,Restaurant with Liquor,
Fairways Lounge,1500,Locust  Street,Braddock,PA,15104,North Braddock,Restaurant with Liquor,
Faith Lutheran Church,161,6th Avenue,Pittsburgh,PA,15229,Ross,Adult Food Service,
Faith Lutheran Church Kitchen,80,Bartley Road,Pittsburgh,PA,15241,Upper St Clair,Church Kitchen,
Falce&#39;s Restaurant,3716,Main St,Homestead,PA,15120,Munhall,Restaurant without Liquor,
Falk School Kitchen,4060,Allequippa St,Pittsburgh,PA,15261,Pittsburgh-104,Satellite Kitchen,
Falker&#39;s Tavern,721,Walnut Street,Clairton,PA,15025,Clairton,Restaurant with Liquor,
Family Delicatessen,3400 Suite 3,South Park  Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor,
Family Dollar,642,Monongahela Ave,Glassport,PA,15045,Glassport,Chain Packaged Food Only,
Family Dollar # 28406,1122,Milltown Road,Verona,PA,15147,Penn Hills,Chain Packaged Food Only,
Family Dollar #0775,152,McKees Rocks Pz,Mc Kees Rocks,PA,15136,McKees Rocks,Chain Packaged Food Only,
Family Dollar #11119,3300,Penn Avenue,Pittsburgh,PA,15201,Pittsburgh-106,Chain Packaged Food Only,
Family Dollar #11619,3215,Versailles  Avenue,Mc Keesport,PA,15132,McKeesport,Chain Packaged Food Only,
Family Dollar #1631,130,Lysle Blvd,Mc Keesport,PA,15132,McKeesport,Chain Packaged Food Only,
Family Dollar #1769,355,Lincoln Hwy,North Versailles,PA,15137,North Versailles,Chain Packaged Food Only,
Family Dollar #1982,6320,Shakespeare St,Pittsburgh,PA,15206,Pittsburgh-107,Chain Packaged Food Only,
Family Dollar #2116,240,Hays Ave,Pittsburgh,PA,15210,Mt Oliver,Chain Packaged Food Only,
Family Dollar #2396,909,Main St,Pittsburgh,PA,15215,Sharpsburg,Chain Packaged Food Only,
Family Dollar #2467,1868,Homeville Rd,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only,
Family Dollar #3182,123,Lincoln Avenue,Pittsburgh,PA,15209,Millvale,Chain Packaged Food Only,
Family Dollar #3340,14,Creighton Russellton  Road,Russellton,PA,15076,West Deer,Chain Packaged Food Only,
Family Dollar #3675,7627,Penn Ave,Pittsburgh,PA,15221,Pittsburgh-114,Chain Packaged Food Only,
Family Dollar #4675,27,Duquesne Boulevard,Duquesne,PA,15110,Duquesne,Chain Retail/Convenience Store,
Family Dollar #4708,300,Broadway St,Carnegie,PA,15106,Carnegie,Packaged Food Only,
Family Dollar #4774,533,Miller Ave,Clairton,PA,15025,Clairton,Chain Packaged Food Only,
Family Dollar #4962,1737,Golden Mile Highway,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Family Dollar #5224,240,Curry Hollow Rd,Pittsburgh,PA,15236,Pleasant Hills,Chain Packaged Food Only,
Family Dollar #5250,2020,Wharton Street,Pittsburgh,PA,15203,Pittsburgh-117,Chain Packaged Food Only,
Family Dollar #5275,450,56th St,Pittsburgh,PA,15201,Pittsburgh-110,Chain Packaged Food Only,
Family Dollar #5518,607,Lincoln Ave,Pittsburgh,PA,15202,Bellevue,Chain Packaged Food Only,
Family Dollar #5940,715,8th Avenue,Homestead,PA,15120,Munhall,Chain Packaged Food Only,
Family Dollar #6137,5160,Penn Ave,Pittsburgh,PA,15224,Pittsburgh-108,Chain Packaged Food Only,
Family Dollar #6347,401,6th St,Braddock,PA,15104,Braddock,Chain Packaged Food Only,
Family Dollar #6554,2347,5th Ave,Mc Keesport,PA,15132,McKeesport,Chain Packaged Food Only,
Family Dollar #6598,9010,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,Chain Packaged Food Only,
Family Dollar #7104,2020,Spring Garden Ave,Pittsburgh,PA,15212,Pittsburgh-124,Chain Packaged Food Only,
Family Dollar #7123,3107,Liberty Way,Mc Keesport,PA,15133,Liberty Boro,Chain Packaged Food Only,
Family Dollar #7199,1917,Centre Ave,Pittsburgh,PA,15213,Pittsburgh-105,Chain Retail/Convenience Store,
Family Dollar #7618,1201,Foster  Avenue,Pittsburgh,PA,15205,Crafton,Chain Packaged Food Only,
Family Dollar #824,1500,Yost Blvd / Braddock Hills,Pittsburgh,PA,15221,Braddock Hills,Chain Packaged Food Only,
Family Dollar #8379,821,Chartiers  Avenue,Mc Kees Rocks,PA,15136,McKees Rocks,Chain Packaged Food Only,
Family Dollar Store#11291,2928,Sheraden Boulevard,Pittsburgh,PA,15204,Pittsburgh-120,Chain Packaged Food Only,
Family Food Center,2104,Brownsville Road,Pittsburgh,PA,15210,Pittsburgh-129,Supermarket,
Family Links Theraputic Learning Center Kitchen,2644,Banksville Road,Pittsburgh,PA,15216,Pittsburgh-120,Satellite Kitchen,
Family Resources,1100,Freeport Rd,Mars,PA,16046,Marshall,Child Food Service,
Family Resources / BJWL,205,Locust St / Hays Manor,Mc Kees Rocks,PA,15136,McKees Rocks,Child Food Service,
Family Resources Dining Hall,1100,Freeport Rd,Mars,PA,16046,Marshall,Child Food Service,
Family Resources Therapeutic Center,1425,Forbes Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Child Food Service,
Family Restaurant,2614,Brownsville Road,Pittsburgh,PA,15227,Pittsburgh-129,Restaurant without Liquor,
Famous Wok,445,Pittsburgh Mills  Circle,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor,
Fare @ Home,4960,Wm Flynn Highway,Allison Park,PA,15101,Hampton,Food Processor,
Farm Fresh Deli,&nbsp;,Pgh Int&#39;l Airport / AC-33,Pittsburgh,PA,15231,Findlay,Restaurant without Liquor,
Farm Fresh Deli Commissary,&nbsp;,Pgh Int&#39;l Airport / NW-3A,Pittsburgh,PA,15231,Findlay,Commissary,
Farm Truck Foods ,501,Lincoln Avenue,Pittsburgh,PA,15209,Millvale,Mobile,
Fast Eddie&#39;s Food-N-Fuel / G-Man Pizza &amp; Deli,1424,U.S. Route 30,Clinton,PA,15026,Findlay,Retail/Convenience Store,
Fast Grab &amp; Go,7261,Steubenville Pike,Oakdale,PA,15071,North Fayette,Retail/Convenience Store,
Fast Stop,620,McGovern Blvd,Coraopolis,PA,15108,Moon,Retail/Convenience Store,
Faster,4898,Campbells Run Road,Pittsburgh,PA,15205,Robinson,Restaurant without Liquor,
Fat Cat&#39;s Subs,1401,Freeport Road,Cheswick,PA,15024,Harmar,Restaurant without Liquor,
Fat Heads South Shore Saloon,1805,E. Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Fat Rai&#39;s,5009,2nd Avenue,Pittsburgh,PA,15207,Pittsburgh-115,Restaurant without Liquor,
Faternal Order of Eagles Arie #1134,202,3rd Ave,Carnegie,PA,15106,Carnegie,Social Club-Bar Only,
Fawn Elementary School Cafeteria,5591,Ridge Road,Natrona Heights,PA,15065,Fawn,Full Service Kitchen,
Fazio&#39;s Pizza,4028,Penn Avenue,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant without Liquor,
Feast on Brilliant,27,Brilliant Avenue,Pittsburgh,PA,15215,Aspinwall,Restaurant without Liquor,
FedEx Cafeteria / Starbucks ,1000,FedEx Dr,Coraopolis,PA,15108,Moon,Restaurant without Liquor,
Federated Investors Employee Cafeteria,1001,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Feeney&#39;s Weenies,2102,Broadway Avenue,Pittsburgh,PA,15216,Pittsburgh-119,Restaurant without Liquor,
Fellini&#39;s Pizzeria,1624,Lincoln Way,Mc Keesport,PA,15131,White Oak,Chain Restaurant without Liquor,
Fellini&#39;s Pizzeria,6028,Saltsburg Road,Verona,PA,15147,Penn Hills,Chain Restaurant without Liquor,
Fellini&#39;s Pizzeria,1231,RT 51,Clairton,PA,15025,Jefferson,Chain Restaurant without Liquor,
Fellini&#39;s Pizzeria ,4415,Old Wm Penn  Highway,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor,
Feng Japanese ,4305,Main Street,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant with Liquor,
Fernando&#39;s Cafe,963,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Fifth Avenue Beanery,120,5th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Fin McCools,1501,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant with Liquor,
Findlay Twp Sports &amp; Rec Complex,800,U.S. Route 30,Clinton,PA,15026,Findlay,Community Service Facility/Exempt,
Fiore Food Service,12120,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,Food Processor,
Fiori&#39;s Pizza,103,Capital Ave,Pittsburgh,PA,15226,Pittsburgh-119,Restaurant without Liquor,
Fire Side Caribbean Restaurant,796,Penn Ave,Pittsburgh,PA,15221,Wilkinsburg,Restaurant without Liquor,
Fire Side Public House,6290,Broad  Street,Pittsburgh,PA,15206,Pittsburgh-111,Restaurant with Liquor,
Firehouse Franks,&nbsp;,10th St &amp; Penn  Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Mobile,
Firehouse Subs,320,McHolme Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant without Liquor,
First Baptist Church Of Pittsburgh,159,N Bellefield Ave,Pittsburgh,PA,15213,Pittsburgh-104,Church Kitchen,
First Catholic Slovak Union Branch #159,2726,E Carson St / Rear,Pittsburgh,PA,15203,Pittsburgh-116,Social Club-Bar Only,
First Class Caterers,310,Vista Park Drive,Pittsburgh,PA,15205,Robinson,Caterer,
First Congregational Church / Etna Senior Center,49,Locust Street,Pittsburgh,PA,15223,Etna,Adult Food Service,
First Impressions,3454,Pleasantvue Dr,Pittsburgh,PA,15227,Baldwin Boro,Child Food Service,
First Lutheran Church,615,Grant Street,Pittsburgh,PA,15219,Pittsburgh-102,Church Kitchen,
First Presbyterian Church,320,6th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Church Kitchen,
First Presbyterian Church,719,Duquesne Boulevard,Duquesne,PA,15110,Duquesne,Adult Food Service,
First Stop Child Care Center,671,Bryn Mawr Rd,Pittsburgh,PA,15219,Pittsburgh-105,Child Food Service,
First United Presbyterian Church,913,Lock Street,Tarentum,PA,15084,Tarentum,Adult Food Service,
First Watch,215,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant without Liquor,
First Watch #131,9176,Covenant  Avenue,Pittsburgh,PA,15237,McCandless,Chain Restaurant without Liquor,
First Watch Cafe #163,160,Millers Run Road,Bridgeville,PA,15017,South Fayette,Chain Restaurant without Liquor,
Firstside Cafe,500,1st Ave,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant without Liquor,
Fitness Fuel &amp; Recovery ,100,Village Club Drive,Wexford,PA,15090,Pine,Restaurant without Liquor,
Five Below,587,Clairton Boulevard,Pittsburgh,PA,15236,Pleasant Hills,Chain Packaged Food Only,
Five Below,4088,William Penn  Boulevard,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Five Below,1010,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only,
Five Below ,4801,McKnight Road,Pittsburgh,PA,15237,Ross,Chain Packaged Food Only,
Five Below #187,5375,Wm Flynn Highway,Gibsonia,PA,15044,Richland,Packaged Food Only,
Five Below #188,1020,Village Center Drive,Tarentum,PA,15084,Frazer,Chain Packaged Food Only,
Five Below / Waterworks,950,Freeport Rd,Pittsburgh,PA,15238,Pittsburgh-112,Chain Retail/Convenience Store,
Five Guys #1208,1000,Ross Park Mall Drive,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor,
Five Guys Burgers &amp; Fries,1029,Freeport Rd,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant without Liquor,
Five Guys Burgers &amp; Fries,3845,Northern  Pike,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor,
Five Guys Burgers &amp; Fries,2030,Pittsburgh Mills Boulevard,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor,
Five Guys Burgers &amp; Fries,324,McHolme Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant without Liquor,
Five Guys Burgers &amp; Fries,117,S Bouquet St,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor,
Five Guys Burgers &amp; Fries #1665,3,PPG Place,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor,
Five Guys Burgers &amp; Fries #1798,160,Millers Run Road,Bridgeville,PA,15017,South Fayette,Chain Restaurant without Liquor,
Five Points Artisan Bakery,6520,Wilkins  Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Bakery,
Flamer&#39;s Grill,200,Monroeville Mall,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor,
Flamer&#39;s Grill #55,301,South Hills Village FC-03,Pittsburgh,PA,15241,Bethel Park,Chain Restaurant without Liquor,
